証券コード,年月日,貸株残,貸株(増減),貸株(新規),貸株(返済),融資残,融資(増減),融資(新規),融資(返済)

1309,2024/01/04,15,0,0,0,0,0,0,0
1311,2024/01/04,120,20,20,0,120,20,20,0
1322,2024/01/04,230,230,230,0,0,0,0,0
1325,2024/01/04,2100,0,0,0,0,0,0,0
1328,2024/01/04,3320,780,780,0,100,0,0,0
1356,2024/01/04,49520,-2430,100,2,20490,120,1,100
1358,2024/01/04,1100,80,100,20,561,-380,0,380
1365,2024/01/04,2285,154,154,0,447,-526,0,526
1366,2024/01/04,67151,5256,5,400,0,0,0,0
1367,2024/01/04,462,300,300,0,44,-22,3,25
1368,2024/01/04,998,-588,66,654,2502,245,245,0
1376,2024/01/04,100,0,0,0,0,0,0,0
1380,2024/01/04,200,0,0,0,0,0,0,0
1381,2024/01/04,300,0,0,0,0,0,0,0
1382,2024/01/04,5600,-500,0,500,0,0,0,0
1383,2024/01/04,1100,500,500,0,0,0,0,0
1384,2024/01/04,4700,-7000,0,7,0,0,0,0
1399,2024/01/04,0,-20,0,20,0,-30,0,30
1401,2024/01/04,1000,0,0,0,0,0,0,0
1418,2024/01/04,99700,5900,6,000,26100,2000,2,000
1420,2024/01/04,6600,5300,5,300,100,-200,100,300
1430,2024/01/04,3400,-100,0,100,0,0,0,0
1431,2024/01/04,15900,-400,6,400,14300,100,100,0
1433,2024/01/04,50000,-38100,1,900,121100,8900,8,900
1434,2024/01/04,23700,-100,2,800,23700,-100,100,200
1435,2024/01/04,75400,3100,3,100,0,0,0,0
1436,2024/01/04,600,300,400,100,0,0,0,0
1438,2024/01/04,300,0,0,0,0,0,0,0
1439,2024/01/04,700,0,0,0,0,0,0,0
1443,2024/01/04,54000,17000,18,700,0,0,0,0
1444,2024/01/04,800,-600,0,600,0,0,0,0
1446,2024/01/04,22800,300,500,200,35400,-100,0,100
1447,2024/01/04,54700,4300,26,000,0,0,0,0
1449,2024/01/04,1300,0,0,0,0,0,0,0
1450,2024/01/04,2200,0,0,0,0,0,0,0
1451,2024/01/04,600,-800,0,800,0,0,0,0
1456,2024/01/04,0,-150,0,150,2665,2665,2,665
1457,2024/01/04,1222,222,222,0,3000,3000,3,000
1458,2024/01/04,32293,5466,5,485,1247,81,278,197
1464,2024/01/04,0,0,0,0,3,0,0,0
1466,2024/01/04,243,0,0,0,243,0,0,0
1469,2024/01/04,10,0,0,0,300,-50,0,50
1472,2024/01/04,3,0,0,0,172,0,0,0
1481,2024/01/04,21,-3,0,3,21,-3,0,3
1483,2024/01/04,1,0,0,0,0,0,0,0
1491,2024/01/04,345500,-1800,0,1,0,0,0,0
1492,2024/01/04,14,-3,0,3,3,3,3,0
1493,2024/01/04,2,2,2,0,9,-178,0,178
1494,2024/01/04,13,0,0,0,0,0,0,0
1495,2024/01/04,90,90,90,0,0,0,0,0
1496,2024/01/04,150,20,50,30,0,0,0,0
1497,2024/01/04,10,4,4,0,0,0,0,0
1514,2024/01/04,308200,30100,43,800,0,0,0,0
1541,2024/01/04,6116,473,743,270,0,0,0,0
1542,2024/01/04,1120,-75,15,90,0,0,0,0
1543,2024/01/04,189,-2,0,2,0,0,0,0
1546,2024/01/04,1372,-20,20,40,103,-18,0,18
1550,2024/01/04,290,-500,0,500,0,0,0,0
1551,2024/01/04,240,70,70,0,240,0,0,0
1552,2024/01/04,1039132,-40859,28,319,0,0,0,0
1554,2024/01/04,240,0,30,30,240,0,0,0
1555,2024/01/04,590,80,170,90,1010,-1910,420,2
1559,2024/01/04,200,100,100,0,0,-2,0,2
1560,2024/01/04,1,0,0,0,0,0,0,0
1563,2024/01/04,8530,10,230,220,8530,10,10,0
1566,2024/01/04,5,0,0,0,120,50,50,0
1568,2024/01/04,4490,-420,380,800,1100,-4640,180,4
1569,2024/01/04,1950,0,0,0,0,0,0,0
1572,2024/01/04,18830,500,500,0,0,0,0,0
1573,2024/01/04,1930,-20,10,30,0,0,0,0
1578,2024/01/04,2643,1487,1,487,3061,-240,4,244
1579,2024/01/04,23090,7370,7,770,4110,-5620,0,5
1580,2024/01/04,24670,2490,2,490,1400,0,0,0
1585,2024/01/04,10,0,0,0,0,0,0,0
1586,2024/01/04,2,0,0,0,0,0,0,0
1596,2024/01/04,50,50,50,0,0,0,0,0
1617,2024/01/04,10,10,10,0,10,10,10,0
1618,2024/01/04,0,-19,0,19,5,0,0,0
1619,2024/01/04,2,0,2,2,0,-2,0,2
1620,2024/01/04,10,5,5,0,10,5,10,5
1621,2024/01/04,2,1,1,0,77,-1,0,1
1622,2024/01/04,10,8,9,1,24,-16,0,16
1623,2024/01/04,71,12,12,0,71,6,6,0
1624,2024/01/04,0,-1,0,1,2,1,1,0
1625,2024/01/04,2,2,2,0,120,0,0,0
1626,2024/01/04,0,-89,0,89,0,0,0,0
1627,2024/01/04,98,-394,0,394,0,0,0,0
1628,2024/01/04,12,7,7,0,12,12,12,0
1629,2024/01/04,145,120,120,0,20,2,2,0
1630,2024/01/04,2,2,2,0,2,2,2,0
1631,2024/01/04,459,0,12,12,459,0,0,0
1632,2024/01/04,1,0,0,0,13,-5,3,8
1633,2024/01/04,16,0,0,0,72,0,0,0
1657,2024/01/04,4,0,0,0,4,0,0,0
1658,2024/01/04,842,-935,0,935,0,0,0,0
1659,2024/01/04,915,89,89,0,560,0,0,0
1660,2024/01/04,0,-60,0,60,0,0,0,0
1671,2024/01/04,67947,619,2,050,3275,3275,3,275
1678,2024/01/04,204030,-83360,6,500,120050,-2040,0,2
1679,2024/01/04,10,0,0,0,480,140,140,0
1680,2024/01/04,580,0,10,10,580,0,0,0
1681,2024/01/04,1200,240,240,0,1200,240,240,0
1682,2024/01/04,26000,0,0,0,9400,0,0,0
1688,2024/01/04,2640,0,0,0,0,0,0,0
1689,2024/01/04,515,-35,0,35,0,0,0,0
1691,2024/01/04,30,0,0,0,0,0,0,0
1694,2024/01/04,100,0,0,0,0,0,0,0
1695,2024/01/04,195,35,35,0,0,0,0,0
1697,2024/01/04,20,0,0,0,0,0,0,0
1698,2024/01/04,510,510,510,0,970,-880,220,1
1699,2024/01/04,219480,6510,10,510,63210,-6810,0,6
1711,2024/01/04,11200,1200,1,200,0,0,0,0
1712,2024/01/04,29100,2800,3,100,0,0,0,0
1716,2024/01/04,2800,200,300,100,500,100,100,0
1717,2024/01/04,6600,-1200,100,1,0,0,0,0
1724,2024/01/04,2200,1400,1,400,0,0,0,0
1726,2024/01/04,1900,0,0,0,0,0,0,0
1730,2024/01/04,8200,1000,1,400,0,0,0,0
1736,2024/01/04,300,0,0,0,0,0,0,0
1738,2024/01/04,2900,0,0,0,0,0,0,0
1739,2024/01/04,600,0,0,0,0,0,0,0
1743,2024/01/04,4800,0,0,0,0,0,0,0
1757,2024/01/04,329000,0,0,0,0,0,0,0
1758,2024/01/04,31000,300,300,0,0,0,0,0
1764,2024/01/04,2900,0,0,0,0,0,0,0
1768,2024/01/04,1200,400,400,0,600,-200,100,300
1770,2024/01/04,300,-100,0,100,0,0,0,0
1771,2024/01/04,1300,0,0,0,0,0,0,0
1776,2024/01/04,2700,300,700,400,0,0,0,0
1777,2024/01/04,15000,0,0,0,0,0,0,0
1780,2024/01/04,4100,1700,1,700,200,0,0,0
1783,2024/01/04,65200,-100,0,100,0,0,0,0
1789,2024/01/04,11200,-300,600,900,7000,0,0,0
1795,2024/01/04,0,-100,0,100,0,0,0,0
1805,2024/01/04,9700,-600,100,700,600,600,600,0
1807,2024/01/04,300,300,300,0,0,0,0,0
1810,2024/01/04,1300,500,600,100,100,100,100,0
1811,2024/01/04,2400,-100,0,100,500,-100,0,100
1813,2024/01/04,10200,5100,5,100,1100,-2200,500,2
1814,2024/01/04,11000,400,400,0,5900,800,1,700
1826,2024/01/04,4300,1000,1,000,32100,4200,6,200
1827,2024/01/04,76400,3200,3,200,5800,3500,4,100
1828,2024/01/04,1200,100,100,0,0,0,0,0
1832,2024/01/04,100,0,0,0,0,0,0,0
1840,2024/01/04,126200,15200,16,200,0,0,0,0
1841,2024/01/04,300,0,0,0,0,0,0,0
1844,2024/01/04,2000,0,0,0,0,0,0,0
1847,2024/01/04,6900,-500,0,500,0,0,0,0
1848,2024/01/04,2200,100,100,0,2200,100,100,0
1850,2024/01/04,129200,1200,1,300,0,0,0,0
1853,2024/01/04,3600,0,0,0,0,0,0,0
1866,2024/01/04,6000,200,200,0,0,0,0,0
1867,2024/01/04,24500,-600,3,600,23600,23400,23,600
1873,2024/01/04,16600,0,0,0,0,0,0,0
1892,2024/01/04,600,0,0,0,0,0,0,0
1897,2024/01/04,600,0,0,0,0,0,0,0
1904,2024/01/04,2900,-1100,0,1,42100,3600,4,700
1905,2024/01/04,600,100,100,0,0,0,0,0
1909,2024/01/04,800,300,300,0,0,0,0,0
1914,2024/01/04,22100,4800,5,200,5000,4900,5,000
1921,2024/01/04,2600,0,0,0,2100,-500,0,500
1930,2024/01/04,1700,-700,1,600,102300,99900,101,800
1948,2024/01/04,400,0,0,0,0,0,0,0
1960,2024/01/04,112100,0,0,0,0,0,0,0
1964,2024/01/04,2000,0,200,200,2000,0,0,0
1965,2024/01/04,2500,100,100,0,2500,100,100,0
1966,2024/01/04,17600,-300,0,300,2400,-300,100,400
1967,2024/01/04,200300,0,0,0,1800,0,0,0
1971,2024/01/04,1300,1000,1,000,0,0,0,0
1972,2024/01/04,6400,400,400,0,200,0,0,0
1992,2024/01/04,100,100,100,0,0,0,0,0
1994,2024/01/04,2000,0,0,0,0,0,0,0
1997,2024/01/04,1600,0,0,0,0,0,0,0
2009,2024/01/04,7000,500,500,0,0,0,0,0
2032,2024/01/04,10,0,0,0,0,0,0,0
2034,2024/01/04,468,0,0,0,0,0,0,0
2040,2024/01/04,53,0,0,0,0,0,0,0
2041,2024/01/04,1600,0,0,0,0,0,0,0
2043,2024/01/04,7,0,0,0,0,0,0,0
2046,2024/01/04,814,-131,6,137,0,0,0,0
2055,2024/01/04,24400,-800,0,800,800,-200,0,200
2060,2024/01/04,8900,1200,1,200,300,200,300,100
2107,2024/01/04,3200,-400,0,400,0,0,0,0
2108,2024/01/04,3700,0,100,100,0,0,0,0
2112,2024/01/04,83800,0,0,0,400,0,0,0
2114,2024/01/04,15000,-600,200,800,64300,1100,1,200
2122,2024/01/04,2400,0,0,0,0,0,0,0
2130,2024/01/04,68800,-1500,800,2,116800,-500,0,500
2134,2024/01/04,2660100,-17700,0,17,0,0,0,0
2136,2024/01/04,1800,-200,0,200,0,0,0,0
2137,2024/01/04,3800,0,0,0,0,0,0,0
2138,2024/01/04,118600,8600,11,100,110000,0,0,0
2139,2024/01/04,0,0,0,0,900,-100,0,100
2148,2024/01/04,67500,-2200,0,2,0,0,0,0
2152,2024/01/04,200,0,0,0,0,0,0,0
2153,2024/01/04,1500,400,400,0,0,0,0,0
2158,2024/01/04,71600,200,200,0,0,0,0,0
2163,2024/01/04,9000,-500,400,900,0,0,0,0
2164,2024/01/04,10700,1300,1,300,0,0,0,0
2169,2024/01/04,1300,300,300,0,300,0,0,0
2172,2024/01/04,900,0,0,0,0,0,0,0
2173,2024/01/04,11800,600,1,000,1300,-1500,100,1
2179,2024/01/04,700,0,0,0,0,0,0,0
2180,2024/01/04,3300,600,600,0,0,0,0,0
2183,2024/01/04,8900,2400,2,400,0,0,0,0
2185,2024/01/04,6000,-100,0,100,0,0,0,0
2186,2024/01/04,3500,0,0,0,0,0,0,0
2193,2024/01/04,74500,9300,13,100,10000,0,100,100
2195,2024/01/04,3700,-1600,400,2,0,0,0,0
2196,2024/01/04,19500,0,0,0,99000,4300,4,400
2198,2024/01/04,24100,-100,4,100,24100,-100,0,100
2204,2024/01/04,1200,0,0,0,0,0,0,0
2207,2024/01/04,1700,0,0,0,1400,-100,0,100
2215,2024/01/04,14000,300,300,0,12500,0,0,0
2216,2024/01/04,9300,2300,2,400,2100,-4000,0,4
2217,2024/01/04,800,100,100,0,1300,200,300,100
2221,2024/01/04,200,0,0,0,0,0,0,0
2224,2024/01/04,500,0,0,0,0,0,0,0
2236,2024/01/04,739,70,70,0,0,0,0,0
2237,2024/01/04,137,-22,20,42,0,0,0,0
2238,2024/01/04,528,53,53,0,0,0,0,0
2239,2024/01/04,250,50,50,0,0,0,0,0
2240,2024/01/04,40,0,0,0,0,0,0,0
2242,2024/01/04,480,10,20,10,790,0,0,0
2243,2024/01/04,11642,6096,6,216,0,-43,0,43
2244,2024/01/04,12533,-188,80,268,0,0,0,0
2247,2024/01/04,165,0,0,0,0,0,0,0
2248,2024/01/04,25,0,0,0,0,0,0,0
2249,2024/01/04,352,80,80,0,0,0,0,0
2266,2024/01/04,4300,2100,2,100,4600,-1200,0,1
2286,2024/01/04,49100,0,0,0,0,0,0,0
2291,2024/01/04,800,0,0,0,3500,-100,200,300
2293,2024/01/04,700,0,0,0,0,0,0,0
2294,2024/01/04,1000,0,0,0,400,0,0,0
2300,2024/01/04,4000,200,200,0,0,0,0,0
2301,2024/01/04,6800,100,200,100,3200,-400,0,400
2303,2024/01/04,5100,300,300,0,0,0,0,0
